"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","26-Mar-2018","        234.80","        234.75","        247.85","        234.25","        247.20","        246.50","        241.69","   30373940","          7341009624.05","     191534","    8518273","         28.04"
"SBIN","N2","26-Mar-2018","      10425.02","      10590.00","      10590.00","      10425.00","      10520.00","      10485.47","      10498.27","         31","              325446.34","         11","         31","        100.00"
"SBIN","N5","26-Mar-2018","      10671.43","      10675.00","      10675.00","      10630.00","      10630.00","      10652.37","      10657.19","        506","             5392535.95","         57","        506","        100.00"
"SBIN","EQ","27-Mar-2018","        246.50","        250.00","        255.50","        248.00","        253.40","        254.35","        252.05","   31205051","          7865111417.45","     186644","    8200394","         26.28"
"SBIN","N2","27-Mar-2018","      10485.47","      10550.00","      10550.00","      10400.00","      10400.00","      10400.00","      10455.35","         15","              156830.30","          4","         15","        100.00"
"SBIN","N5","27-Mar-2018","      10652.37","      10720.00","      10730.00","      10665.00","      10700.00","      10699.19","      10710.98","        363","             3888087.18","         48","        352","         96.97"
"SBIN","EQ","28-Mar-2018","        254.35","        252.00","        256.20","        248.70","        249.25","        249.90","        251.61","   36673566","          9227549855.35","     167989","   14627534","         39.89"
"SBIN","N5","28-Mar-2018","      10699.19","      10730.00","      10750.00","      10720.00","      10750.00","      10748.17","      10740.29","        259","             2781736.25","         38","        203","         78.38"
"SBIN","N6","28-Mar-2018","      10700.00","      10600.00","      10600.00","      10600.00","      10600.00","      10600.00","      10600.00","         15","              159000.00","          2","         15","        100.00"
"SBIN","EQ","02-Apr-2018","        249.90","        251.80","        252.00","        244.90","        246.00","        246.15","        247.21","   14993188","          3706522223.15","     107701","    2746163","         18.32"
"SBIN","N2","02-Apr-2018","      10400.00","      10497.99","      10510.00","      10497.99","      10510.00","      10510.00","      10503.85","         73","              766780.98","         17","         73","        100.00"
"SBIN","N5","02-Apr-2018","      10748.17","      10750.00","      10825.00","      10702.00","      10825.00","      10801.52","      10780.66","        431","             4646463.17","         83","        374","         86.77"
"SBIN","EQ","03-Apr-2018","        246.15","        249.55","        252.80","        248.25","        250.95","        250.50","        250.35","   19883309","          4977777337.45","     113047","    3126786","         15.73"
"SBIN","N2","03-Apr-2018","      10510.00","      10515.00","      10515.00","      10504.00","      10515.00","      10512.48","      10509.09","         22","              231199.94","          8","         22","        100.00"
"SBIN","N5","03-Apr-2018","      10801.52","      10850.00","      10910.00","      10823.00","      10900.00","      10902.32","      10868.60","        620","             6738532.37","         67","        620","        100.00"
